,Disease,combined_symptoms
201,Broken collarbone,pain that increase when move the shoulder swell tenderness bruising skin over the break might look like tent when gently pinch bump near the shoulder grind crackle sound when move the shoulder stiffness not be able move the shoulder symptom broken collarbone include
202,Broken foot,immediate throb painpain that increase with activity and decrease with restswellingbruisingtendernessdeformitydifficulty walk bearing weightif you have broken foot you may experience some the follow sign and symptom
204,Broken leg,severe pain which may worsen with movementswellingtendernessbruisingobvious deformity shorten the affected leginability walkthe thighbone femur the strong bone the body usually obvious when the thighbone broken because take much force break but break the shinbone tibia the bone that run alongside the shinbone fibula may less obvious
205,Broken ribs,deep breath pressure the injured area bend twist the body the follow can cause pain with broken rib make pain bad
206,Broken toe,painswellingchange skin color from bruising bleeding under the skinsigns and symptom broken toe include
207,Broken wrist,severe pain that might worsen when grip squeeze move your hand wristswellingtendernessbruisingobvious deformity such bent wrista broken wrist might cause these sign and symptom
208,Bronchiolitis,runny nose stuffy nose cough sometimes slight fever for the first few day the symptom bronchiolitis be much like cold
209,Bronchitis,coughproduction mucus sputum which can clear white yellowish gray green color rarely may streak with bloodfatigueshortness breathslight fever and chillschest discomfortfor either acute bronchitis chronic bronchitis sign and symptom may include
210,Bruxism (teeth grinding),teeth grind clench which may loud enough wake your sleep partnerteeth that be flatten fracture chipped looseworn tooth enamel expose deeper layer your toothincreased tooth pain sensitivitytired tight jaw muscle lock jaw that won open close completelyjaw neck face pain sorenesspain that feel like earache though actually not problem with your eardull headache start the templesdamage from chew the inside your cheeksleep disruptionsigns and symptom bruxism may include
211,Buerger disease,tingle numbness the finger toe change skin color the hand and foot the skin may look pale gray red blue depend your skin color these color change may harder easy see finger and toe that turn white then blue when expose cold know raynaud disease depend your skin color these color change may harder easy see pain the foot that occurs with walk the pain may make difficult walk long distance painful open sore finger and toe pain the finger and toe may become severe and occur rest inflammation vein just below the skin surface due blood clot the vein buerger disease symptom include
212,Bulimia nervosa,be preoccupy with your body shape and weightliving fear gain weightrepeated episode eat abnormally large amount food one sittingfeeling loss control during bingeing like you can stop eat can control what you eatforcing yourself vomit exercise too much keep from gain weight after bingeingusing laxative diuretic enema after eat when they not neededfasting restrict calorie avoid certain food between bingesusing dietary supplement herbal product excessively for weight lossbulimia sign and symptom may include
213,Bullous pemphigoid,itch skin week month before blister formlarge blister that don easily rupture when touch often along crease fold the skinskin around the blister that normal reddish darker than normaleczema hive like rashsmall blister sore the mouth other mucous membrane benign mucous membrane pemphigoid the sign and symptom bullous pemphigoid may include
215,Burns,st degree burn this minor burn affect only the outer layer the skin epidermis may cause redness and pain nd degree burn this type burn affect both the epidermis and the second layer skin dermis may cause swell and red white splotchy skin blister may develop and pain can severe deep second degree burn can cause scar rd degree burn this burn reach the fat layer beneath the skin burn area may black brown white the skin may look leathery third degree burn can destroy nerve cause numbness your skin have three layer that house your sweat and oil gland hair follicle melanocyte and blood vessel
217,Meralgia paresthetica,tingle and numbnessburning paindecreased sensationincreased sensitivity and pain even light touchmeralgia paresthetica may cause these symptom affect the outer lateral part your thigh
219,Bursitis,feel achy stiffhurt more when you move press itlook swollen and redif you have bursitis the affected joint might
220,Knee bursitis,frequent and sustain pressure such from kneel especially hard surfacesoveruse strenuous activitya direct blow your kneebacterial infection the bursacomplications from osteoarthritis rheumatoid arthritis gout your kneeknee bursitis sign and symptom vary depend which bursa affected and what cause the inflammation
221,C. difficile infection,watery diarrhea three more time day for more than one daymild abdominal cramp and tendernesssome people carry c difficile bacteria their intestine but never become sick these individual be carrier the bacteria and may spread infection
222,Calciphylaxis,large purple net like pattern skindeep very painful lump that ulcerate create open sore with black brown crust that fails heal typically skin area with high fat content such the stomach and thigh although they can occur anywhereinfections from wound that don healsigns and symptom calciphylaxis include
223,Corns and calluses,thick rough area skina harden raise bumptenderness pain under the skinflaky dry waxy skincorns have hard center and tend develop the top and side your toe they can painful
224,Cancer,fatiguelump area thicken that can felt under the skinweight change include unintended loss gainskin change such yellow darken redness the skin sore that won heal change exist moleschanges bowel bladder habitspersistent cough trouble breathingdifficulty swallowinghoarsenesspersistent indigestion discomfort after eatingpersistent unexplained muscle joint painpersistent unexplained fever night sweatsunexplained bleeding bruisingsigns and symptom cause cancer will vary depend what part the body affected
230,Carcinoid tumors,chest painwheezingshortness breathdiarrhearedness feel warmth your face and neck skin flush weight gain particularly around the midsection and upper backpink purple mark the skin that look like stretch markssome carcinoid tumor don cause any sign symptom when they occur sign and symptom be usually vague and depend the location the tumor
231,Cervical cancer,vaginal bleeding after intercourse between period after menopausewatery bloody vaginal discharge that may heavy and have foul odorpelvic pain pain during intercoursethe ovary fallopian tube uterus cervix and vagina vaginal canal make the female reproductive system
232,Chronic lymphocytic leukemia,enlarge but painless lymph nodesfatiguefeverpain the upper left portion the abdomen which may cause enlarge spleennight sweatsweight lossfrequent infectionsmany people with chronic lymphocytic leukemia have symptom first sign and symptom might develop the cancer progress they might include
233,Chronic myelogenous leukemia,bone pain bleeding easily feel full after eat small amount food fatigue fever weight loss without try loss appetite pain fullness below the rib the left side excessive sweat during sleep blurry vision cause bleeding the back the eye chronic myelogenous leukemia often doesn cause symptom might detect during blood test
234,Colon cancer,change bowel habit such more frequent diarrhea constipation rectal bleeding blood the stool ongoing discomfort the belly area such cramp gas pain feel that the bowel doesn empty all the way during bowel movement weakness tiredness lose weight without try many people with colon cancer don have symptom first when symptom appear they likely depend the cancer size and where the large intestine
235,Endometrial cancer,vaginal bleeding after menopause bleeding between period pelvic pain symptom endometrial cancer may include
236,Esophageal cancer,difficulty swallow dysphagia weight loss without tryingchest pain pressure burningworsening indigestion heartburncoughing hoarsenesssigns and symptom esophageal cancer include
237,Eye melanoma,sensation flash speck dust your vision floater grow dark spot the irisa change the shape the dark circle pupil the center your eyepoor blurry vision one eyeloss peripheral visioneye melanoma may not cause sign and symptom when they occur sign and symptom eye melanoma can include
238,Gallbladder cancer,abdominal pain particularly the upper right portion the abdomenabdominal bloatinglosing weight without tryingyellowing the skin and white the eye jaundice gallbladder cancer sign and symptom may include
239,Stomach cancer,trouble swallowingbelly painfeeling bloat after eatingfeeling full after eat small amount foodnot feel hungry when you would expect hungryheartburnindigestionnauseavomitinglosing weight without tryingfeeling very tiredstools that look blacksigns and symptom stomach cancer may include
240,Hairy cell leukemia,feel fullness your belly that may make uncomfortable eat more than little timefatigueeasy bruisingrecurring infectionsweaknesslosing weight without tryinghairy cell leukemia might not cause symptom sometimes health care provider find accident during blood test for another condition
241,Hodgkin's lymphoma (Hodgkin's disease),painless swell lymph node your neck armpit groinpersistent fatiguefevernight sweatslosing weight without tryingsevere itchingpain your lymph node after drinking alcoholone the most common place find swollen lymph node the neck the inset show three swollen lymph node below the low jaw
243,Kidney cancer,blood your urine which may appear pink red cola coloredpain your back side that doesn go awayloss appetiteunexplained weight losstirednessfeverkidney cancer usually doesn have sign symptom it early stage time sign and symptom may develop include
244,Leukemia,fever chillspersistent fatigue weaknessfrequent severe infectionslosing weight without tryingswollen lymph node enlarge liver spleeneasy bleeding bruisingrecurrent nosebleedstiny red spot your skin petechia excessive sweat especially nightbone pain tendernessleukemia symptom vary depend the type leukemia common leukemia sign and symptom include
245,Mouth cancer,lip mouth sore that doesn heala white reddish patch the inside your mouthloose teetha growth lump inside your mouthmouth painear paindifficult painful swallowingsigns and symptom mouth cancer may include
246,Liver cancer,lose weight without tryingloss appetiteupper abdominal painnausea and vomitinggeneral weakness and fatigueabdominal swellingyellow discoloration your skin and the white your eye jaundice white chalky stoolsthe liver your large internal organ about the size football locate mainly the upper right portion your abdomen beneath the diaphragm and above your stomach
247,Lung cancer,new cough that doesn go awaycoughing blood even small amountshortness breathchest painhoarsenesslosing weight without tryingbone painheadachelung cancer typically doesn cause sign and symptom it early stage sign and symptom lung cancer typically occur when the disease advanced
249,Merkel cell carcinoma,excessive exposure natural artificial sunlight be expose ultraviolet light such the light that come from the sun from tan bed increase your risk merkel cell carcinoma the majority merkel cell carcinoma appear skin surface frequently expose sun weaken immune system people with weaken immune system include those with hiv infection those take drug that suppress the immune response those with chronic leukemia be more likely develop merkel cell carcinoma history other skin cancer merkel cell carcinoma associate with the development other skin cancer such basal cell squamous cell carcinoma old age your risk merkel cell carcinoma increase you age this cancer most common people old than age though can occur any age light skin color merkel cell carcinoma usually arises people who have light color skin white be much more likely affected this skin cancer than be black the first sign merkel cell carcinoma usually fast grow painless nodule tumor your skin the nodule may skin color may appear shade red blue purple most merkel cell carcinoma appear the face head neck but they can develop anywhere your body even area not expose sunlight
250,Mesothelioma,chest painpainful coughingshortness breathunusual lump tissue under the skin your chestunexplained weight losssigns and symptom mesothelioma vary depend where the cancer occurs
252,Multiple myeloma,bone pain especially your spine chestnauseaconstipationloss appetitemental fogginess confusionfatiguefrequent infectionsweight lossweakness numbness your legsexcessive thirstsigns and symptom multiple myeloma can vary and early the disease there may none
253,Nasopharyngeal carcinoma,lump your neck cause swollen lymph nodeblood your salivabloody discharge from your nosenasal congestion ring your earshearing lossfrequent ear infectionssore throatheadachesin it early stage nasopharyngeal carcinoma may not cause any symptom possible noticeable symptom nasopharyngeal carcinoma include
254,Neuroblastoma,abdominal paina mass under the skin that isn tender when touchedchanges bowel habit such diarrhea constipationsigns and symptom neuroblastoma vary depend what part the body affected
255,Non-Hodgkin's lymphoma,swollen lymph node your neck armpit groinabdominal pain swellingchest pain cough trouble breathingpersistent fatiguefevernight sweatsunexplained weight lossone the most common place find swollen lymph node the neck the inset show three swollen lymph node below the low jaw
257,Ovarian cancer,abdominal bloating swellingquickly feel full when eatingweight lossdiscomfort the pelvic areafatigueback painchanges bowel habit such constipationa frequent need urinatethe ovary fallopian tube uterus cervix and vagina vaginal canal make the female reproductive system
258,Pancreatic cancer,abdominal pain that radiates your backloss appetite unintended weight lossyellowing your skin and the white your eye jaundice light color stoolsdark color urineitchy skinnew diagnosis diabetes exist diabetes that become more difficult controlblood clotsfatiguesigns and symptom pancreatic cancer often don occur until the disease advanced they may include
259,Paraneoplastic syndromes of the nervous system,difficulty walkingdifficulty maintain balanceloss muscle coordinationloss muscle tone weaknessloss fine motor skill such pick objectsdifficulty swallowingslurred speech stutteringmemory loss and other think cognitive impairmentvision problemssleep disturbancesseizureshallucinationsunusual involuntary movementssigns and symptom paraneoplastic syndrome the nervous system can develop relatively quickly often over day week sign and symptom paraneoplastic syndrome the nervous system often begin even before cancer diagnose
260,Prostate cancer,trouble urinatingdecreased force the stream urineblood the urineblood the semenbone painlosing weight without tryingerectile dysfunctionprostate cancer may cause sign symptom it early stage
261,Rectal cancer,change bowel habit such diarrhea constipation more frequent bowel movementsdark maroon bright red blood stoolnarrow stoola feel that your bowel doesn empty completelyabdominal painunexplained weight lossweakness fatiguesigns and symptom rectal cancer include
262,Retinoblastoma,white color the center circle the eye pupil when light shone the eye such when someone take flash photograph the childeyes that appear look different directionspoor visioneye rednesseye swellingbecause retinoblastoma mostly affect infant and small child symptom aren common sign you may notice include
263,Skin cancer,pearly waxy bumpa flat flesh color brown scar like lesiona bleeding scabbing sore that heals and returnsbasal cell carcinoma type skin cancer that most often develops area skin expose the sun such the face white skin basal cell carcinoma often look like bump that skin color pink
264,Soft tissue sarcoma,noticeable lump swell pain the growth press nerve muscle soft tissue sarcoma may not cause any symptom first the cancer grows may cause
265,Squamous cell carcinoma of the skin,firm bump the skin call nodule the nodule might the same color the skin might look different can look pink red black brown depend skin color flat sore with scaly crust new sore raise area old scar sore rough scaly patch the lip that may become open sore sore rough patch inside the mouth raise patch wartlike sore the anus the genitals squamous cell carcinoma the skin most often occurs sun expose skin this include the scalp the back the hand the ear the lip but can occur anywhere the body can even occur inside the mouth the bottom the foot the genitals when squamous cell carcinoma the skin happens people with black and brown skin tends happen place that aren expose the sun
267,Testicular cancer,lump swell either testiclea feel heaviness the scrotuma dull ache the low belly groinsudden swell the scrotumpain discomfort testicle the scrotumenlargement tenderness the breast tissueback painpain swell lump your testicle groin area may sign symptom testicular cancer other medical condition require treatment
268,Throat cancer,coughchanges your voice such hoarseness not speak clearlydifficulty swallowingear paina lump sore that doesn heala sore throatweight losssigns and symptom throat cancer may include
269,Thyroid cancer,lump nodule that can felt through the skin your necka feel that close fitting shirt collar be become too tightchanges your voice include increase hoarsenessdifficulty swallowingswollen lymph node your neckpain your neck and throatthe thyroid gland locate the base the neck just below the adam apple
271,Vaginal cancer,unusual vaginal bleeding for example after intercourse after menopausewatery vaginal dischargea lump mass your vaginapainful urinationfrequent urinationconstipationpelvic painthe ovary fallopian tube uterus cervix and vagina vaginal canal make the female reproductive system
272,Vulvar cancer,itch that doesn go awaypain and tendernessbleeding that isn from menstruationskin change such color change thickeninga lump wartlike bump open sore ulcer sign and symptom vulvar cancer may include
273,Oral thrush,creamy white lesion your tongue inner cheek and sometimes the roof your mouth gum and tonsilsslightly raise lesion with cottage cheese like appearanceredness burning soreness that may severe enough cause difficulty eat swallowingslight bleeding the lesion be rubbed scrapedcracking and redness the corner your moutha cottony feel your mouthloss tasteredness irritation and pain under denture denture stomatitis initially you may not even notice symptom oral thrush sign and symptom may include
274,Yeast infection (vaginal),itch and irritation the vagina and vulvaa burning sensation especially during intercourse while urinatingredness and swell the vulvavaginal pain and sorenessvaginal rashthick white odor free vaginal discharge with cottage cheese appearancewatery vaginal dischargeyeast infection symptom can range from mild moderate and include
276,Carbon monoxide poisoning,headache weakness dizziness nausea vomit shortness breath confusion blur vision drowsiness loss muscle control loss consciousness carbon monoxide poison affect the brain and heart the most exposure over time might lead symptom that can mistaken for the flu without the fever clearer symptom carbon monoxide poison can include
278,Carcinoma of unknown primary,lump that can felt through the skinpainchanges bowel habit such new and persistent constipation diarrheafrequent urinationcoughfevernight sweatslosing weight without tryingsigns and symptom carcinoma unknown primary depend what part the body involve general they might include
279,Sudden cardiac arrest,sudden collapse pulse breathing loss consciousness symptom sudden cardiac arrest be immediate and severe and include
280,Cardiomyopathy,breathlessness with activity even restswelling the leg ankle and feetbloating the abdomen due fluid buildupcough while lie downdifficulty lie flat sleepfatigueheartbeats that feel rapid pound flutteringchest discomfort pressuredizziness lightheadedness and faintingthere might sign symptom the early stage cardiomyopathy but the condition advance sign and symptom usually appear include
281,Hypertrophic cardiomyopathy,chest pain especially during exercisefainting especially during just after exercise exertionheart murmur which health care provider might detect while listen the heartsensation fast flutter pound heartbeat palpitation shortness breath especially during exercisesigns and symptom hypertrophic cardiomyopathy might include one more the follow
283,Heart disease,chest pain chest tightness chest pressure and chest discomfort angina shortness breathpain the neck jaw throat upper belly area backpain numbness weakness coldness the leg arm the blood vessel those body area be narrowedheart disease symptom depend the type heart disease
284,Carotid artery disease,sudden numbness weaknessin the face limb often one side the body sudden trouble speakingand understand speech sudden trouble seeingin one both eye sudden dizzinessor loss balance sudden severe headachewith know cause it early stage carotid artery disease often doesn have symptom the condition might not obvious until serious enough deprive the brain blood cause stroke tia
287,Carpal tunnel syndrome,tingle numbness you may notice tingle and numbness the finger hand usually the thumb and index middle ring finger be affected but not the little finger you might feel sensation like electric shock these finger the sensation may travel from the wrist the arm these symptom often occur while hold steer wheel phone newspaper may wake you from sleep many people shake out their hand try relieve their symptom the numb feel may become constant over time weakness you may experience weakness the hand and drop object this may due the numbness the hand weakness the thumb pinch muscle which be also control the median nerve carpal tunnel syndrome symptom usually start gradually and include
288,Childhood apraxia of speech,babbling less make few vocal sound than typical between the age month speak first word late typically after age month old use limited number consonant and vowel often leave out sound when speak use speech that hard understand child with childhood apraxia speech ca may have variety speech symptom symptom vary depend child age and the severity the speech problem
290,Cataracts,cloud blur dim visionincreasing difficulty with vision nightsensitivity light and glareneed for brighter light for reading and other activitiesseeing halo around lightsfrequent change eyeglass contact lens prescriptionfading yellow colorsdouble vision single eyesigns and symptom cataract include
291,Cavernous malformations,seizuressevere headachesweakness the arm legsnumbnessdifficulty speakingproblems with memory and attentionproblems with balance and walkingvision change such double visionccms may exist without apparent symptom seizure may occur when there ccm the outer surface the brain
292,Cavities/tooth decay,toothache spontaneous pain pain that occurs without any apparent causetooth sensitivitymild sharp pain when eat drinking something sweet hot coldvisible hole pit your teethbrown black white stain any surface toothpain when you bite downthe sign and symptom cavity vary depend their extent and location when cavity just begin you may not have any symptom all the decay get large may cause sign and symptom such
293,Congenital diaphragmatic hernia (CDH),severe trouble breathing due small lung that don work well pulmonary hypoplasia type high blood pressure that affect the artery the lung and the right side the heart pulmonary hypertension problem with development the heart damage the intestine stomach liver and other abdominal organ they move through the hernia into the chest congenital diaphragmatic hernia range severity may mild and have few effect the baby can more serious and affect the ability bring oxygen the rest the body
294,Median arcuate ligament syndrome (MALS),pain the upper middle stomach area which may go away when lean forwardstomach pain after eat exercise change body positionbloatingdiarrheafear eat food due pain lead significant weight loss usually great than pound kilogram nausea and vomitingoften compression the celiac artery doesn cause any symptom
297,Celiac disease,diarrheafatigueweight lossbloating and gasabdominal painnausea and vomitingconstipationthe sign and symptom celiac disease can vary greatly and differ child and adult digestive sign and symptom for adult include
300,Cellulite,anatomy cellulitecellulite look like dimple bumpy skin sometimes described have cottage cheese orange peel texture
301,Central nervous system vascular malformations,bleeding seizure headache brain and nervous system problem call neurological deficit that get bad over time neurological deficit can affect speech vision balance memory and other ability symptom depend the type central nervous system vascular malformation and where found some vascular malformation have symptom they found image for something else
302,Central sleep apnea,observe episode not breathing during sleep sudden awakening with shortness breath not be able stay asleep know insomnia excessive daytime sleepiness know hypersomnia trouble focus mood change morning headache snore common symptom central sleep apnea include
303,Swimmer's itch,spending time water that infest with certain parasite forget dry off with towel after get out the water be sensitive the parasite that cause swimmer itch swimmer itch symptom include itchy rash that look like pimple blister symptom may begin within minute long two day after swim wad contaminate water
305,Cerebral palsy,stiff muscle and exaggerated reflex spasticity the most common movement disordervariations muscle tone such be either too stiff too floppystiff muscle with normal reflex rigidity lack balance and muscle coordination ataxia tremor jerky involuntary movementsslow writhe movementsfavoring one side the body such only reach with one hand drag leg while crawlingdifficulty walk such walk toe crouch gait scissors like gait with knee cross wide gait asymmetrical gaitdifficulty with fine motor skill such buttoning clothes pick utensilssigns and symptom cerebral palsy can vary greatly from person person cerebral palsy can affect the whole body might limited primarily one two limb one side the body generally sign and symptom include problem with movement and coordination speech and eat development and other problem
306,CSF leak (Cerebrospinal fluid leak),cause pain the back the headimprove when lie downworsen when stand upmay start worsen with exertion such cough strain rarely start suddenly thunderclap headache symptom vary between spinal and cranial csf leak
307,Stroke,trouble speak and understand what others be say you may experience confusion slur word have difficulty understand speech paralysis numbness the face arm leg you may develop sudden numbness weakness paralysis the face arm leg this often affect just one side the body try raise both your arm over your head the same time one arm begin fall you may have stroke also one side your mouth may droop when you try smile problem see one both eye you may suddenly have blur blacken vision one both eye you may see double headache sudden severe headache which may accompany vomit dizziness alter consciousness may indicate that you have stroke trouble walk you may stumble lose your balance you may also have sudden dizziness loss coordination you someone you with may have stroke pay particular attention the time the symptom begin some treatment option be most effective when give soon after stroke begin
309,Cervicitis,large amount unusual vaginal dischargefrequent painful urinationpain during sexbleeding between menstrual periodsvaginal bleeding after sex not associate with menstrual periodwith cervicitis inflammation your cervix your cervix appear red and irritated and may produce pu like discharge
310,Hip dysplasia,first pregnancylarge babybreech presentationsigns and symptom vary age group infant you might notice that one leg longer than the other once child begin walk limp may develop during diaper change one hip may less flexible than the other
311,Drug addiction (substance use disorder),feel that you have use the drug regularly daily even several time dayhaving intense urge for the drug that block out any other thoughtsover time need more the drug get the same effecttaking large amount the drug over longer period time than you intendedmaking certain that you maintain supply the drugspending money the drug even though you can afford itnot meeting obligation and work responsibility cut back social recreational activity because drug usecontinuing use the drug even though you know cause problem your life cause you physical psychological harmdoing thing get the drug that you normally wouldn such stealingdriving do other risky activity when you under the influence the drugspending good deal time get the drug use the drug recover from the effect the drugfailing your attempt stop use the drugexperiencing withdrawal symptom when you attempt stop take the drugdrug addiction symptom behavior include among others
312,Chemo brain,be unusually disorganizedconfusiondifficulty concentratingdifficulty find the right worddifficulty learn new skillsdifficulty multitaskingfeeling mental fogginessshort attention spanshort term memory problemstaking longer than usual complete routine taskstrouble with verbal memory such remember conversationtrouble with visual memory such recall image list wordssigns and symptom chemo brain may include the follow
313,Chest pain,pressure fullness burning tightness the chest crush sear pain that spread the back neck jaw shoulder and one both arm pain that last more than few minute get bad with activity go away and come back varies intensity shortness breath cold sweat dizziness lightheadedness weakness race heartbeat nausea vomit chest pain can feel different depend what trigger the symptom often the cause have nothing with the heart though there easy way tell without see health care provider
315,Chickenpox,fever loss appetite headache tiredness and general feel be unwell the rash cause chickenpox appear day after you expose the varicella zoster virus the rash often last about day other symptom that may appear day before the rash include
317,Childhood obesity,diet regularly eat high calorie food such fast food bake good and vend machine snack can cause your child gain weight candy and dessert also can cause weight gain and more and more evidence point sugary drink include fruit juice and sport drink culprit obesity some people lack exercise child who don exercise much be more likely gain weight because they don burn many calorie too much time spent sedentary activity such watch television play video game also contributes the problem tv show also often feature ad for unhealthy food family factor your child come from family overweight people she may more likely put weight this especially true environment where high calorie food be always available and physical activity isn encourage psychological factor personal parental and family stress can increase child risk obesity some child overeat cope with problem deal with emotion such stress fight boredom their parent might have similar tendency socioeconomic factor people some community have limited resource and limited access supermarket result they might buy convenience food that don spoil quickly such frozen meal cracker and cooky also people who live low income neighborhood might not have access safe place exercise certain medication some prescription drug can increase the risk develop obesity they include prednisone lithium amitriptyline paroxetine paxil gabapentin neurontin gralise horizant and propranolol inderal hemangeol not all child carry extra pound be overweight some child have large than average body frame and child normally carry different amount body fat the various stage development you might not know how your child look weight health concern
319,Chlamydia trachomatis,painful urinationvaginal dischargedischarge from the penispainful sexual intercourse womenvaginal bleeding between period and after sextesticular painearly stage chlamydia trachomatis infection often cause few symptom even when symptom occur they often mild that make them easy overlook which why regular screen important
321,Primary sclerosing cholangitis,fatigueitchingyellow eye and skin jaundice abdominal painprimary sclerosing cholangitis often diagnose before symptom appear when routine blood test x ray take for unrelated condition show liver abnormality
322,Cholecystitis,severe pain your upper right center abdomenpain that spread your right shoulder backtenderness over your abdomen when touchednauseavomitingfeversymptoms cholecystitis may include
323,Cholestasis of pregnancy,yellow the skin and white the eye call jaundicenausealoss appetiteoily foul smell stoolsintense itch the main symptom cholestasis pregnancy but there rash typically you feel itchy the palm your hand the sol your foot but you may feel itchy everywhere the itch often bad night and may bother you much that you can sleep
324,Huntington's disease,involuntary jerking writhe movement chorea muscle problem such rigidity muscle contracture dystonia slow unusual eye movementsimpaired gait posture and balancedifficulty with speech swallowinghuntington disease usually cause movement cognitive and psychiatric disorder with wide spectrum sign and symptom which symptom appear first varies greatly from person person some symptom appear more dominant have great effect functional ability but that can change throughout the course the disease
326,Chronic daily headaches,chronic migrainechronic tension type headachenew daily persistent headachehemicrania continuaby definition chronic daily headache occur day more month for longer than three month true primary chronic daily headache aren cause another condition
327,Chronic granulomatous disease,fever chest pain when inhale exhale swollen and sore lymph gland ongoing runny nose skin irritation that may include rash swell redness swell and redness the mouth gastrointestinal problem that may include vomit diarrhea stomach pain bloody stool painful pocket pu near the anus people with chronic granulomatous disease experience serious bacterial fungal infection every few year infection the lung include pneumonia common people with cgd may develop serious type fungal pneumonia after be expose dead leaf mulch hay
328,Chronic hives,batch welt wheal that can arise anywhere the bodywelts that might red purple skin color depend your skin colorwelts that vary size change shape and appear and fade repeatedlyitchiness pruritus which can intensepainful swell angioedema around the eye cheek lipsflares trigger heat exercise stresssymptoms that persist for more than six week and recur often and anytime sometimes for month yearssymptoms chronic hive include
329,Chronic kidney disease,nauseavomitingloss appetitefatigue and weaknesssleep problemsurinating more lessdecreased mental sharpnessmuscle crampsswelling foot and anklesdry itchy skinhigh blood pressure hypertension that difficult controlshortness breath fluid build the lungschest pain fluid build around the line the heartsigns and symptom chronic kidney disease develop over time kidney damage progress slowly loss kidney function can cause buildup fluid body waste electrolyte problem depend how severe loss kidney function can cause
333,COPD,shortness breath especially during physical activitieswheezingchest tightnessa chronic cough that may produce mucus sputum that may clear white yellow greenishfrequent respiratory infectionslack energyunintended weight loss later stage swell ankle foot legscopd symptom often don appear until significant lung damage have occur and they usually worsen over time particularly smoking exposure continue
334,Chronic pelvic pain,serious and steady pain that come and go dull ache sharp pain cramp pressure heaviness deep within the pelvis you may feel chronic pelvic pain different part your pelvic area rather than just one spot you might describe the pain one more the follow way
336,Chronic sinusitis,nasal inflammationthick discolor discharge from the nose runny nose drainage down the back the throat postnasal drainage block stuffy congest nose cause difficulty breathing through your nosepain tenderness and swell around your eye cheek nose foreheadreduced sense smell and tastecommon sign and symptom chronic sinusitis include
337,Chronic traumatic encephalopathy,trouble think memory loss problem with planning organization and carry out task there be specific symptom that have be clearly link cte some the possible symptom can occur many other condition the people who be confirm have cte autopsy symptom have include cognitive behavioral mood and motor change
338,Vulvodynia,burningsorenessstingingrawnesspainful intercourse dyspareunia throbbingitchingthe vulva the outer part the female genitalia include the labium majora labium minora and clitoris
339,Cirrhosis,fatigue easily bleeding bruising loss appetite nausea swell the leg foot ankle call edema weight loss itchy skin yellow discoloration the skin and eye call jaundice fluid accumulation the abdomen call ascites uh sahy teez spiderlike blood vessel the skin redness the palm the hand pale fingernail especially the thumb and index finger club the finger which the fingertip spread out and become rounder than usual for woman absence loss period not related menopause for men loss sex drive testicular shrinkage breast enlargement know gynecomastia confusion drowsiness slur speech the liver your large internal organ about the size football locate mainly the upper right portion your abdomen beneath the diaphragm and above your stomach
341,Cleft lip and cleft palate,split the lip and roof the mouth palate that affect one both side the facea split the lip that appear only small notch the lip extends from the lip through the upper gum and palate into the bottom the nosea split the roof the mouth that doesn affect the appearance the faceusually split cleft the lip palate immediately identifiable birth cleft lip and cleft palate may appear
342,Depression (major depressive disorder),feeling sadness tearfulness emptiness hopelessnessangry outburst irritability frustration even over small mattersloss interest pleasure most all normal activity such sex hobby sportssleep disturbance include insomnia sleep too muchtiredness and lack energy even small task take extra effortreduced appetite and weight loss increase craving for food and weight gainanxiety agitation restlessnessslowed think speak body movementsfeelings worthlessness guilt fixate past failure self blametrouble think concentrate make decision and remember thingsfrequent recurrent thought death suicidal thought suicide attempt suicideunexplained physical problem such back pain headachesalthough depression may occur only once during your life people typically have multiple episode during these episode symptom occur most the day nearly every day and may include
346,Clubfoot,the top the foot usually twist downward and inward increase the arch and turn the heel inward the foot may turn severely that actually look upside down the affected leg foot may slightly shorter the calf muscle the affected leg be usually underdeveloped your child have clubfoot here what might look like
347,Cluster headache,excruciate pain that generally situate behind around one eye but may radiate other area your face head and neckone side painrestlessnessexcessive tearingredness your eye the affected sidestuffy runny nose the affected sideforehead facial sweat the affected sidepale skin pallor flush your faceswelling around your eye the affected sidedrooping eyelid the affected sidecluster headache usually occur cyclical pattern call cluster period possible symptom include severe pain around one eye one side your head there may tear nasal stuffiness and runny nostril the affected side the head
348,Hypothermia,shiveringslurred speech mumblingslow shallow breathingweak pulseclumsiness lack coordinationdrowsiness very low energyconfusion memory lossloss consciousnessbright red cold skin infant shiver likely the first thing you notice the temperature start drop because your body automatic defense against cold temperature attempt warm itself
349,Cold sore,tingle and itch many people feel itch burning tingle around the lip for day before small hard painful spot appear and blister form blister small fluid fill blister often form along the border the lip sometimes they appear around the nose cheek inside the mouth ooze and crust the small blister may merge and then burst this can leave shallow open sore that ooze and crust over cold sore usually pass through several stage
350,Common cold,runny stuffy nose sore scratchy throat cough sneeze generally feel unwell slight body ache mild headache low grade fever most often common cold symptom start day after someone expose cold virus symptom vary they can include
351,Ischemic colitis,pain tenderness cramp your belly which can occur suddenly happen over timebright red maroon blood your stool time passage blood alone without stoola feel urgency move your bowelsdiarrheanauseasymptoms ischemic colitis can include
352,Microscopic colitis,chronic watery diarrheaabdominal pain cramp bloatingweight lossnauseafecal incontinencedehydrationsigns and symptom microscopic colitis include
