Disease,Description
Gallbladder cancer,"Gallbladder cancer begins in the cells of the gallbladder. Your gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver."
Stomach cancer,"Learn more about stomach cancer from oncologist Mohamad (Bassam) Sonbol, M.D."
Hairy cell leukemia,"The darker cells in this photo are hairy cell leukemia cells. Hairy cell leukemia cells look hairy when viewed under a microscope. The ""hair"" is actually thin projections that stick out from the cell."
Hodgkin's lymphoma (Hodgkin's disease),"The lymphatic system is part of the body's immune system, which protects against infection and disease. The lymphatic system includes the spleen, thymus, lymph nodes and lymph channels, as well as the tonsils and adenoids."
Kidney cancer,"Learn more from urologic oncologist Bradley Leibovich, M.D."
Leukemia,"Leukemia is cancer of the body's blood-forming tissues, including the bone marrow and the lymphatic system."
Mouth cancer,"Learn more about mouth cancer, also called oral cancer, from oncologist Katharine Price, M.D."
Liver cancer,"Learn more from liver surgeon Sean Cleary, M.D."
Lung cancer,Lung cancer begins in the cells of your lungs.
Merkel cell carcinoma,"Merkel cell carcinoma is a rare, aggressive skin cancer. It appears as a painless, flesh-colored or bluish-red nodule growing on your skin."
Mesothelioma,Malignant mesothelioma (me-zoe-thee-lee-O-muh) is a type of cancer that occurs in the thin layer of tissue that covers the majority of your internal organs (mesothelium).
Multiple myeloma,Multiple myeloma is a cancer that forms in a type of white blood cell called a plasma cell. Healthy plasma cells help you fight infections by making antibodies that recognize and attack germs.
Nasopharyngeal carcinoma,"The throat (pharynx) is a muscular tube that runs from the back of your nose down into your neck. It contains three sections: the nasopharynx, oropharynx and laryngopharynx, which is also called the hypopharynx."
Neuroblastoma,"Located on top of each kidney, the adrenal glands make hormones that help regulate metabolism, the immune system, blood pressure and other important functions. Although small, these glands control much of what happens in the body."
Non-Hodgkin's lymphoma,"The lymphatic system is part of the body's immune system, which protects against infection and disease. The lymphatic system includes the spleen, thymus, lymph nodes and lymph channels, as well as the tonsils and adenoids."
Ovarian cancer,Ovarian cancer is a type of cancer that begins in the ovaries. The ovaries — each about the size of an almond — produce eggs (ova) as well as the hormones estrogen and progesterone.
Pancreatic cancer,"Learn more about pancreatic cancer from Mayo Clinic surgical oncologist Chee-Chee Stucky, M.D."
Paraneoplastic syndromes of the nervous system,"Paraneoplastic syndromes of the nervous system are a group of uncommon disorders that develop in some people who have cancer. Paraneoplastic syndromes can also affect other organ systems including hormones (endocrine), skin (dermatologic), blood (hematologic) and joints (rheumatologic)."
Prostate cancer,"Learn more about prostate cancer from Mayo Clinic urologist Mitchell Humphreys, M.D."
Rectal cancer,The rectum is the last several inches of the large intestine. Rectal cancer starts in the lining of the rectum (rectal mucosa).
Retinoblastoma,"Your eye is a complex and compact structure measuring about 1 inch (2.5 centimeters) in diameter. It receives millions of pieces of information about the outside world, which are quickly processed by your brain."
Skin cancer,Skin cancer — the abnormal growth of skin cells — most often develops on skin exposed to the sun. But this common form of cancer can also occur on areas of your skin not ordinarily exposed to sunlight.
Soft tissue sarcoma,Soft tissue sarcomas are cancers that start in the soft tissues of the body. This illustration shows a soft tissue sarcoma of the thigh muscle just above the knee.
Squamous cell carcinoma of the skin,Sun-exposed areas such as the lips and ears are especially likely to develop squamous cell carcinoma of the skin.
Testicular cancer,"The male reproductive system makes, stores and moves sperm. Testicles produce sperm. Fluid from the seminal vesicles and prostate gland combine with sperm to make semen. The penis ejaculates semen during sexual intercourse."
Throat cancer,"The throat (pharynx) is a muscular tube that runs from the back of your nose down into your neck. It contains three sections: the nasopharynx, oropharynx and laryngopharynx, which is also called the hypopharynx."
Thyroid cancer,"Learn more about thyroid cancer from endocrinologist Mabel Ryder, M.D."
Vaginal cancer,"Vaginal cancer is cancer that occurs in the vagina — the muscular tube that connects the uterus with the outer genitals.
"
Vulvar cancer,Vulvar cancer is cancer that occurs on the vulva — the fleshy area that surrounds your vagina and the tube (urethra) where urine leaves your body.
Oral thrush,"Oral thrush produces slightly raised, creamy white, sore patches in your mouth or on your tongue."
Yeast infection (vaginal),"A vaginal yeast infection is a fungal infection that causes irritation, discharge and intense itchiness of the vagina and the vulva — the tissues at the vaginal opening."
Carbon monoxide poisoning,"Carbon monoxide poisoning occurs when carbon monoxide builds up in the blood. When too much carbon monoxide is in the air, the body replaces the oxygen in the red blood cells with carbon monoxide. This can lead to serious tissue damage, or even death."
Carcinoma of unknown primary,Carcinoma of unknown primary is a diagnosis given when doctors aren't able to locate where a cancer began.
Sudden cardiac arrest,"Sudden cardiac arrest (SCA) is the sudden loss of all heart activity due to an irregular heart rhythm. Breathing stops. The person becomes unconscious. Without immediate treatment, sudden cardiac arrest can lead to death."
Cardiomyopathy,Cardiomyopathy (kahr-dee-o-my-OP-uh-thee) is a disease of the heart muscle that makes it harder for the heart to pump blood to the rest of the body. Cardiomyopathy can lead to heart failure.
Hypertrophic cardiomyopathy,"In hypertrophic cardiomyopathy (HCM), the muscular heart walls (septum) are much thicker (hypertrophied) than those in a typical heart. The thickening can occur anywhere in the left lower heart chamber (left ventricle)."
Heart disease,Heart disease describes a range of conditions that affect the heart. Heart diseases include:
Carotid artery disease,The carotid arteries are a pair of blood vessels. There's one on each side of the neck. The carotid arteries deliver blood to the brain and head.
Carpal tunnel syndrome,"Carpal tunnel syndrome is caused by pressure on the median nerve. The carpal tunnel is a narrow passageway surrounded by bones and ligaments on the palm side of the hand. When the median nerve is compressed, symptoms can include numbness, tingling, and weakness in the hand and arm."
Childhood apraxia of speech,"Childhood apraxia of speech (CAS) is a rare speech disorder. Children with this disorder have trouble controlling their lips, jaws and tongues when speaking."
Cataracts,"A cataract occurs when the lens of your eye becomes cloudy. Eventually, a cataract can advance to the degree of the one shown in this person's right eye."
Cavernous malformations,"A cerebral cavernous malformation is an abnormally formed blood vessel, shaped like a small mulberry, which can form in the brain or spinal cord and may result in a wide range of neurological symptoms."
Cavities/tooth decay,"Cavities are decayed areas of your teeth that develop into tiny openings or holes. The three types of cavities are shown here. Smooth surface cavities occur on the smooth sides of your teeth, while root cavities develop on the surface over the roots. Pit and fissure cavities occur on the chewing surface of your teeth. Not cleaning your teeth well, frequent snacking and sipping sugary drinks are the main culprits behind cavities."
Congenital diaphragmatic hernia (CDH),Congenital diaphragmatic hernia (CDH) is a rare condition that happens in a baby before birth. It occurs early in pregnancy when a baby's diaphragm — the muscle that separates the chest from the abdomen — fails to close as it should. This leaves a hole in the diaphragm. The hole is called a hernia.
Median arcuate ligament syndrome (MALS),Median arcuate ligament syndrome (MALS) occurs when the arc-shaped band of tissue in the chest area (median arcuate ligament) presses on the artery that sends blood to the upper abdomen. The artery is called the celiac artery. MALS can cause stomach pain in some people.
Celiac disease,"Your small intestine is lined with tiny hairlike projections called villi, which absorb vitamins, minerals and other nutrients from the food you eat. Celiac disease damages the villi, leaving your body unable to absorb nutrients necessary for health and growth."
Cellulite,"As fat cells increase, they push up against the skin. Tough, long connective cords pull down. This creates an uneven surface or dimpling, often referred to as cellulite."
Central nervous system vascular malformations,"Central nervous system vascular malformations are rare issues with the blood vessels in the brain or spinal cord and their coverings, called membranes."
Central sleep apnea,Central sleep apnea is a disorder in which breathing repeatedly stops and starts during sleep.
Swimmer's itch,Swimmer's itch is an allergic reaction to tiny parasites that burrow into your skin while you're swimming or wading outdoors.
Cerebral palsy,"Cerebral palsy is a group of disorders that affect movement and muscle tone or posture. It's caused by damage that occurs to the immature, developing brain, most often before birth."
CSF leak (Cerebrospinal fluid leak),"Cerebrospinal fluid (CSF) surrounds your brain and spinal cord and provides a cushion to protect them from injury. The spinal cord and CSF are surrounded by three layers of membranes. A CSF leak occurs when there is a hole or tear in the outermost layer of these membranes (dura mater), which allows some of the fluid to escape."
Stroke,"Learn more from neurologist Robert Brown, M.D."
Cervicitis,"The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system."
Hip dysplasia,Hip dysplasia is the medical term for a hip socket that doesn't fully cover the ball portion of the upper thighbone. This allows the hip joint to become partially or completely dislocated. Most people with hip dysplasia are born with the condition.
Drug addiction (substance use disorder),"Drug addiction, also called substance use disorder, is a disease that affects a person's brain and behavior and leads to an inability to control the use of a legal or illegal drug or medicine. Substances such as alcohol, marijuana and nicotine also are considered drugs. When you're addicted, you may continue using the drug despite the harm it causes."
Chemo brain,"Chemo brain is a common term used by cancer survivors to describe thinking and memory problems that can occur during and after cancer treatment. Chemo brain can also be called chemo fog, cancer-related cognitive impairment or cognitive dysfunction."
Chest pain,"Chest pain appears in many forms, ranging from a sharp stab to a dull ache. Sometimes chest pain feels crushing or burning. In certain cases, the pain travels up the neck and into the jaw and then spreads to the back or down one or both arms."
Chickenpox,"With chickenpox an itchy rash breaks out mostly on the face, scalp, chest, back with some spots on the arms and legs. The spots quickly fill with a clear fluid, break open and then turn crusty."
Childhood obesity,"Childhood obesity is a serious medical condition that affects children and adolescents. It's particularly troubling because the extra pounds often start children on the path to health problems that were once considered adult problems — diabetes, high blood pressure and high cholesterol. Childhood obesity can also lead to poor self-esteem and depression."
Chlamydia trachomatis,"Chlamydia (kluh-MID-e-uh) is a common sexually transmitted infection (STI), also known as a sexually transmitted disease (STD). Chlamydia is caused by Chlamydia trachomatis (truh-KOH-muh-tis) bacteria. You might not know you have chlamydia because many people don't have symptoms, such as genital pain and discharge from the vagina or penis."
Primary sclerosing cholangitis,"The bile ducts carry bile from your liver to your small intestine. When bile ducts become damaged, bile can back up into the liver, causing damage to liver cells. This damage can lead to liver failure."
Cholecystitis,"The gallbladder serves as a reservoir for a yellow-green fluid produced in the liver, called bile. Bile flows from the liver into the gallbladder, where it's held until needed during the digestion of food. When you eat, the gallbladder releases bile into the bile duct. It's then carried to the upper part of the small intestine, called the duodenum, to help break down fat in food."
Cholestasis of pregnancy,"Intrahepatic cholestasis of pregnancy, commonly known as cholestasis of pregnancy, is a liver condition that can occur in late pregnancy. The condition triggers intense itching, but without a rash. Itching is usually on the hands and feet but also can occur on other parts of the body."
Chordoma,
Huntington's disease,"Huntington's disease is a rare, inherited disease that causes the progressive breakdown (degeneration) of nerve cells in the brain. Huntington's disease has a wide impact on a person's functional abilities and usually results in movement, thinking (cognitive) and psychiatric disorders."
Chronic daily headaches,"Most people have headaches from time to time. But if you have a headache more days than not, you might have chronic daily headaches."
Chronic granulomatous disease,"Chronic granulomatous (gran-u-LOM-uh-tus) disease (CGD) is an inherited disorder that occurs when a type of white blood cell, called a phagocyte, doesn't work properly. Phagocytes usually help your body fight infections. When they don't work as they should, phagocytes can't protect your body from bacterial and fungal infections."
Chronic hives,"Illustration of hives on different skin colors. Hives can cause swollen, itchy welts. Hives is also called urticaria."
Chronic kidney disease,"Learn more from kidney doctor Andrew Bentall, M.D."
COPD,"Chronic obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. Symptoms include breathing difficulty, cough, mucus (sputum) production and wheezing. It's typically caused by long-term exposure to irritating gases or particulate matter, most often from cigarette smoke. People with COPD are at increased risk of developing heart disease, lung cancer and a variety of other conditions."
Chronic pelvic pain,Chronic pelvic pain is pain in the area below the belly button and between the hips that lasts six months or longer.
Chronic sinusitis,"Chronic sinusitis can be caused by an infection, growths in the sinuses (nasal polyps) or swelling of the lining of your sinuses. Signs and symptoms may include a blocked or stuffy (congested) nose that causes difficulty breathing through your nose, and pain and swelling around your eyes, cheeks, nose or forehead."
Chronic traumatic encephalopathy,"Chronic traumatic encephalopathy (CTE) is a brain disorder likely caused by repeated head injuries. It causes the death of nerve cells in the brain, known as degeneration. CTE gets worse over time. The only way to definitively diagnosis CTE is after death during an autopsy of the brain."
Vulvodynia,"Vulvodynia (vul-voe-DIN-e-uh) is chronic pain or discomfort around the opening of your vagina (vulva) for which there's no identifiable cause and which lasts at least three months. The pain, burning or irritation associated with vulvodynia can make you so uncomfortable that sitting for long periods or having sex becomes unthinkable. The condition can last for months to years."
Cirrhosis,"Learn more about cirrhosis from transplant hepatologist Sumera Ilyas, M.B.B.S."
Cleft lip and cleft palate,A cleft lip is an opening or split in the upper lip that occurs when developing facial structures in an unborn baby don't close completely. Cleft lip may be unilateral or bilateral. A baby with a cleft lip may also experience a cleft in the roof of the mouth (cleft palate).
Depression (major depressive disorder),"Learn more about depression from Craig Sawchuk, Ph.D., L.P., clinical psychologist at Mayo Clinic."
Clubfoot,"Doctors use the term ""clubfoot"" to describe a range of foot abnormalities usually present at birth (congenital). In most cases, the front of the foot is twisted downward and inward, the arch is increased, and the heel is turned inward. Untreated, the foot can't move up and down as it normally would, and this can cause the child to walk on the side of the foot."
Cluster headache,"Cluster headaches, which occur in cyclical patterns or cluster periods, are one of the most painful types of headache. A cluster headache commonly awakens you in the middle of the night with intense pain in or around one eye on one side of your head."
Hypothermia,"Hypothermia is a medical emergency that occurs when your body loses heat faster than it can produce heat, causing a dangerously low body temperature. Normal body temperature is around 98.6 F (37 C). Hypothermia (hi-poe-THUR-me-uh) occurs as your body temperature falls below 95 F (35 C)."
Cold sore,Illustration of cold sore on different skin colors. A cold sore is a cluster of fluid-filled blisters. Healing often occurs in two to three weeks without scarring. Cold sores are sometimes called fever blisters.
Common cold,"The common cold is an illness affecting your nose and throat. Most often, it's harmless, but it might not feel that way. Germs called viruses cause a common cold."
Ischemic colitis,Ischemic colitis occurs when blood flow to part of the large intestine is reduced. The condition can affect any part of the colon but is most common in the upper left segment.
Microscopic colitis,"The colon, also called the large intestine, is a long, tubelike organ in your abdomen. The colon carries waste to be expelled from the body."
Ulcerative colitis,"Listen to gastroenterologist William Faubion, M.D., walk through ulcerative colitis basics."
Pneumothorax,"In a collapsed lung, air from the lung leaks into the chest cavity. The example shown is a complete left pneumothorax."
Colon polyps,"A colon polyp is a small clump of cells that forms on the lining of the colon. Most colon polyps are harmless. But over time, some colon polyps can develop into colon cancer. Colon cancer can be fatal when found in its later stages."
Color blindness,"Your eye is a complex and compact structure measuring about 1 inch (2.5 centimeters) in diameter. It receives millions of pieces of information about the outside world, which are quickly processed by your brain."
Coma,"Coma is a state of prolonged loss of consciousness. It can have a variety of causes, including traumatic head injury, stroke, brain tumor, or drug or alcohol intoxication. A coma may even be caused by an underlying illness, such as diabetes or an infection."
Common variable immunodeficiency,"Common variable immunodeficiency (CVID) is an immune system disorder that causes you to have low levels of the proteins that help fight infections. If you have CVID, you'll likely have repeated infections in your ears, sinuses and respiratory system. You'll also have an increased risk of digestive disorders, autoimmune disorders, blood disorders and cancer. CVID can be inherited, or you can develop it during your lifetime."
Common warts,"Common warts can grow on your hands or fingers. They're small, grainy bumps that are rough to the touch."
Complicated grief,"Losing a loved one is one of the most distressing and, unfortunately, common experiences people face. Most people experiencing normal grief and bereavement have a period of sorrow, numbness, and even guilt and anger. Gradually these feelings ease, and it's possible to accept loss and move forward."
Hoarding disorder,"Hoarding disorder is an ongoing difficulty throwing away or parting with possessions because you believe that you need to save them. You may experience distress at the thought of getting rid of the items. You gradually keep or gather a huge number of items, regardless of their actual value."
Compulsive sexual behavior,"Compulsive sexual behavior is sometimes called hypersexuality or sexual addiction. It's an intense focus on sexual fantasies, urges or behaviors that can't be controlled. This causes distress and problems for your health, job, relationships or other parts of your life."
Kleptomania,Kleptomania (klep-toe-MAY-nee-uh) is a mental health disorder that involves repeatedly being unable to resist urges to steal items that you generally don't really need. Often the items stolen have little value and you could afford to buy them. Kleptomania is rare but can be a serious condition. It can cause much emotional pain to you and your loved ones — and even legal problems — if not treated.
Concussion,"A concussion is a traumatic brain injury that affects your brain function. Effects are usually temporary but can include headaches and problems with concentration, memory, balance and coordination."
Genital warts,"Genital warts are one of the most common types of sexually transmitted infections. Nearly all sexually active people will become infected with at least one type of human papillomavirus (HPV), the virus that causes genital warts, at some point during their lives."
Congenital adrenal hyperplasia,"Located on top of each kidney, the adrenal glands make hormones that help regulate metabolism, the immune system, blood pressure and other important functions. Although small, these glands control much of what happens in the body."
Congenital heart defects in children,A congenital heart defect is a problem with the structure of the heart that a child is born with.
Congenital heart disease in adults,Congenital heart disease is one or more problems with the heart's structure that exist since birth. Congenital means that you're born with the condition. Congenital heart disease in adults and children can change the way blood flows through the heart.
Congenital mitral valve anomalies,
Congenital myasthenic syndromes,Congenital myasthenic syndromes are rare hereditary (genetic) conditions resulting from a defect at the junction where your nerve stimulates muscle activity. That defect causes muscle weakness.
Craniosynostosis,"Joints made of strong, fibrous tissue (cranial sutures) hold the bones of your baby's skull together. The sutures meet at the fontanels, the soft spots on your baby's head. The sutures remain flexible during infancy, allowing the skull to expand as the brain grows. The largest fontanel is at the front (anterior)."
Heart failure,"Heart failure occurs when the heart muscle doesn't pump blood as well as it should. When this happens, blood often backs up and fluid can build up in the lungs, causing shortness of breath."
Conjoined twins,Conjoined twins may be joined at one of several places. These conjoined twins are joined at the chest (thoracopagus). They have separate hearts but share other organs.
Pink eye (conjunctivitis),"Pink eye is the inflammation or infection of the transparent membrane that lines your eyelid and eyeball. Typical symptoms include redness and a gritty sensation in your eye, along with itching. Often a discharge forms a crust on your eyelashes during the night."
Constipation,Chronic constipation is infrequent bowel movements or difficult passage of stools that persists for several weeks or longer.
Contact dermatitis,Illustration of contact dermatitis on different skin colors. Contact dermatitis can appear as an itchy rash.
Coronary artery disease,"Coronary artery disease is a common heart condition. The major blood vessels that supply the heart (coronary arteries) struggle to send enough blood, oxygen and nutrients to the heart muscle. Cholesterol deposits (plaques) in the heart arteries and inflammation are usually the cause of coronary artery disease."
Coronavirus disease 2019 (COVID-19),"Coronaviruses are a family of viruses that can cause respiratory illnesses such as the common cold, severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS)."
Corticobasal degeneration (corticobasal syndrome),"Corticobasal degeneration, also called corticobasal syndrome, is a rare condition in which areas of your brain shrink and your nerve cells degenerate and die over time. The disease affects the area of the brain that processes information and brain structures that control movement. This degeneration results in growing difficulty in movement on one or both sides of your body."
Multisystem inflammatory syndrome in children (MIS-C),"Multisystem inflammatory syndrome in children (MIS-C) is a group of symptoms linked to swollen, called inflamed, organs or tissues. People with MIS-C need care in the hospital."
Cradle cap,"Cradle cap is characterized by scaly patches on a baby's scalp. You may notice thick, yellow patches of skin. The patches may be crusty or greasy."
Muscle cramp,"A muscle cramp is a sudden, unexpected tightening of one or more muscles. Sometimes called a charley horse, a muscle cramp can be very painful. Exercising or working hard, especially in heat, can lead to muscle cramps. Some medicines and illnesses also might cause muscle cramps."
Craniopharyngioma,
Sudden infant death syndrome (SIDS),Sudden infant death syndrome is the unexplained death of a baby. The baby is usually less than a year old and seems to be healthy. It often happens during sleep. Sudden infant death syndrome also is known as SIDS. It is sometimes called crib death because infants often die in their cribs.
Crohn's disease,"Learn more about Crohn's disease from gastroenterologist William Faubion, M.D."
Cryoglobulinemia,"Cryoglobulins are abnormal proteins in the blood. If you have cryoglobulinemia (kry-o-glob-u-lih-NEE-me-uh), these proteins may clump together at temperatures below 98.6 F (37 C). These gelatinous protein clumps can impede your blood circulation, which can damage your skin, joints, nerves and organs — particularly your kidneys and liver."
Undescended testicle,"A testicle that doesn't move down into its proper place in the scrotum before birth is called an undescended testicle. It's also known as cryptorchidism (krip-TOR-kih-diz-um). Most often, it's just one testicle that doesn't descend into the scrotum, which is the bag of skin that hangs below the penis. But sometimes both testicles are affected."
Cutaneous T-cell lymphoma,"Cutaneous T-cell lymphoma (CTCL) is a rare type of cancer that begins in white blood cells called T cells (T lymphocytes). These cells normally help your body's germ-fighting immune system. In cutaneous T-cell lymphoma, the T cells develop abnormalities that make them attack the skin."
Peyronie's disease,"Peyronie's (pay-roe-NEEZ) disease is a noncancerous condition resulting from fibrous scar tissue that develops on the penis and causes curved, painful erections. Penises vary in shape and size, and having a curved erection isn't necessarily a cause for concern. But Peyronie's disease causes a significant bend or pain in some men."
Scoliosis,"Viewed from the side, the typical spine takes the form of an elongated S, the upper back bowing outward and the lower back curving slightly inward. Viewed from behind though, the spine should appear as a straight line from the base of the neck to the tailbone. Scoliosis is a sideways curvature of the spine."
Cushing syndrome,"Without treatment, Cushing syndrome can cause facial roundness, weight gain around the middle body and upper back, thinning of the arms and legs, easy bruising, and stretch marks."
Cutaneous B-cell lymphoma,
Self-injury/cutting,"Nonsuicidal self-injury, often simply called self-injury, is the act of harming your own body on purpose, such as by cutting or burning yourself. It's usually not meant as a suicide attempt. This type of self-injury is a harmful way to cope with emotional pain, sadness, anger and stress."
Cyclothymia (cyclothymic disorder),"Cyclothymia (sy-kloe-THIE-me-uh), also called cyclothymic disorder, is a rare mood disorder. Cyclothymia causes emotional ups and downs, but they're not as extreme as those in bipolar I or II disorder."
Ganglion cyst,"Ganglion cysts are lumps that most commonly develop in the wrist. They're typically round or oval and are filled with a jellylike fluid.
"
Kidney cysts,A kidney cyst is a round or oval fluid-filled pouch with a well-defined outline. Kidney cysts typically grow on the surface of a kidney. Some may develop inside the kidney.
Ovarian cysts,"The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system."
Cystic fibrosis,"Learn more from pulmonologist Sarah Chalmers, M.D."
Epidermoid cysts,"Illustration of epidermoid cyst on different skin colors. Epidermoid cysts occur most often on the face, neck and trunk."
Dandruff,Dandruff is a common condition that causes the skin on the scalp to flake. It isn't contagious or serious. But it can be embarrassing and difficult to treat.
Narcolepsy,Narcolepsy is a sleep disorder that makes people very drowsy during the day. People with narcolepsy find it hard to stay awake for long periods of time. They fall asleep suddenly. This can cause serious problems in their daily routine.
Ductal carcinoma in situ (DCIS),"Each breast contains 15 to 20 lobes of glandular tissue, arranged like the petals of a daisy. The lobes are further divided into smaller lobules that produce milk for breastfeeding. Small tubes (ducts) conduct the milk to a reservoir that lies just beneath your nipple."
De Quervain tenosynovitis,"De Quervain tenosynovitis (dih-kwer-VAIN ten-oh-sine-oh-VIE-tis) is a painful condition affecting the tendons on the thumb side of the wrist. If you have de Quervain tenosynovitis, you will probably feel pain when you turn your wrist, grasp anything or make a fist."
Delayed ejaculation,Delayed ejaculation — sometimes called impaired ejaculation — is a condition in which it takes an extended period of sexual stimulation for men to reach sexual climax and release semen from the penis (ejaculate). Some men with delayed ejaculation are unable to ejaculate at all.
Gastroparesis,"Your stomach is a muscular sac about the size of a small melon that expands when you eat or drink. It holds as much as a gallon (3.8 liters) of food or liquid. Once your stomach breaks down the food, strong muscular contractions known as peristaltic waves push the food toward the pyloric valve. This valve leads to the upper portion of your small intestine, a segment known as the duodenum."
Delayed sleep phase,"Delayed sleep phase, also known as delayed sleep-wake phase sleep disorder, is an internal sleep clock (circadian rhythm) sleep disorder. It occurs when your sleep pattern is delayed two hours or more from a conventional sleep pattern, causing you to go to sleep later and wake up later."
Delirium,Delirium is a serious change in mental abilities. It results in confused thinking and a lack of awareness of someone's surroundings. The disorder usually comes on fast — within hours or a few days.
Dementia,"Dementia is a term used to describe a group of symptoms affecting memory, thinking and social abilities. In people who have dementia, the symptoms interfere with their daily lives. Dementia isn't one specific disease. Several diseases can cause dementia."
Frontotemporal dementia,"Frontotemporal dementia is an umbrella term for a group of brain disorders that primarily affect the frontal and temporal lobes of the brain. These areas of the brain are generally associated with personality, behavior and language."
Lewy body dementia,"Lewy body dementia is the second most common type of dementia after Alzheimer's disease. Protein deposits called Lewy bodies develop in nerve cells in the brain. The protein deposits affect brain regions involved in thinking, memory and movement. This condition is also known as dementia with Lewy bodies."
Dengue fever,"Dengue (DENG-gey) fever is a mosquito-borne illness that occurs in tropical and subtropical areas of the world. Mild dengue fever causes a high fever and flu-like symptoms. The severe form of dengue fever, also called dengue hemorrhagic fever, can cause serious bleeding, a sudden drop in blood pressure (shock) and death."
Depersonalization-derealization disorder,"Depersonalization-derealization disorder occurs when you persistently or repeatedly have the feeling that you're observing yourself from outside your body or you have a sense that things around you aren't real, or both. Feelings of depersonalization and derealization can be very disturbing and may feel like you're living in a dream."
Postpartum depression,"The birth of a baby can start a variety of powerful emotions, from excitement and joy to fear and anxiety. But it can also result in something you might not expect — depression."
Teen depression,"Teen depression is a serious mental health problem that causes a persistent feeling of sadness and loss of interest in activities. It affects how your teenager thinks, feels and behaves, and it can cause emotional, functional and physical problems. Although depression can occur at any time in life, symptoms may be different between teens and adults."
Dermatitis,"Dermatitis is a general term that describes a common skin irritation. It has many causes and forms and usually involves itchy, dry skin or a rash. Or it might cause the skin to blister, ooze, crust or flake off. Three common types of this condition are atopic dermatitis (eczema), seborrheic dermatitis and contact dermatitis."
Neurodermatitis,"Neurodermatitis is a skin condition characterized by chronic itching or scaling. You'll notice raised, rough, itchy areas of skin — typically on the neck, wrists, forearms, legs or groin area."
Seborrheic dermatitis,Seborrheic dermatitis causes a rash of oily patches with yellow or white scales. The rash may look darker or lighter in people with brown or Black skin and redder in those with white skin.
Dermatofibrosarcoma protuberans,
Dermatographia (Dermatographism),"Dermatographia is a condition in which lightly scratching your skin causes raised, inflamed lines where you've scratched. Though not serious, it can be uncomfortable."
Desmoid tumors,"Desmoid tumors are noncancerous growths that occur in the connective tissue. Desmoid tumors most often occur in the abdomen, arms and legs."
Desmoplastic small round cell tumors,Desmoplastic (des-moe-PLAS-tik) small round cell tumors (DSRCT) are a type of cancer that often begins in the abdomen. Sometimes this type of cancer can occur in other parts of the body.
Retinal detachment,Retinal detachment describes an emergency situation in which a thin layer of tissue (the retina) at the back of the eye pulls away from the layer of blood vessels that provides it with oxygen and nutrients. Retinal detachment is often accompanied by flashes and floaters in your vision.
Neuromyelitis optica,Neuromyelitis optica (NMO) is a central nervous system disorder that causes inflammation in nerves of the eye and the spinal cord.
Diabetes,"Learn more about type 1 diabetes from endocrinologist Yogish Kudva, M.B.B.S."
Diabetes insipidus,Diabetes insipidus (die-uh-BEE-teze in-SIP-uh-dus) is an uncommon problem that causes the fluids in the body to become out of balance. That prompts the body to make large amounts of urine. It also causes a feeling of being very thirsty even after having something to drink. Diabetes insipidus also is called arginine vasopressin deficiency and arginine vasopressin resistance.
Type 1 diabetes,"Type 1 diabetes, once known as juvenile diabetes or insulin-dependent diabetes, is a chronic condition. In this condition, the pancreas makes little or no insulin. Insulin is a hormone the body uses to allow sugar (glucose) to enter cells to produce energy."
Type 1 diabetes in children,"Type 1 diabetes in children is a condition in which your child's body no longer produces an important hormone (insulin). Your child needs insulin to survive, so the missing insulin needs to be replaced with injections or with an insulin pump. Type 1 diabetes in children used to be known as juvenile diabetes or insulin-dependent diabetes."
Type 2 diabetes,"Type 2 diabetes is a condition that happens because of a problem in the way the body regulates and uses sugar as a fuel. That sugar also is called glucose. This long-term condition results in too much sugar circulating in the blood. Eventually, high blood sugar levels can lead to disorders of the circulatory, nervous and immune systems."
Type 2 diabetes in children,"Type 2 diabetes in children is a chronic disease that affects the way your child's body processes sugar (glucose) for fuel. Without treatment, the disorder causes sugar to build up in the bloodstream, which can lead to serious long-term consequences."
Diabetic nephropathy (kidney disease),"Diabetic nephropathy is a serious complication of type 1 diabetes and type 2 diabetes. It's also called diabetic kidney disease. In the United States, about 1 in 3 people living with diabetes have diabetic nephropathy."
Diarrhea,"The small intestine and colon are parts of your digestive tract, which processes the foods you eat. The intestines take nutrients from the foods. What isn't absorbed by the intestines continues along the digestive tract and is passed as stool during a bowel movement."
Voice disorders,"People develop a voice disorder for many reasons. A voice disorder is a change in how the voice sounds. Health care providers trained in ear, nose and throat illnesses and speech-language pathologists diagnose and treat voice issues."
Dysphagia,The esophagus is a muscular tube that connects your mouth and your stomach. Rings of muscle contract and relax to allow food and liquids to pass through the upper and lower portions.
DiGeorge syndrome (22q11.2 deletion syndrome),"DiGeorge syndrome, more accurately known by a broader term — 22q11.2 deletion syndrome — is a disorder caused when a small part of chromosome 22 is missing. This deletion results in the poor development of several body systems."
Dislocated shoulder,"A dislocated shoulder is an injury in which the upper arm bone pops out of the cup-shaped socket that's part of the shoulder blade. The shoulder is the body's most flexible joint, which makes it more likely to dislocate."
