,Disease,combined_symptoms
164,Chronic lymphocytic leukemia,enlarge but painless lymph nodesfatiguefeverpain the upper left portion abdomen which may cause enlarge spleennight sweatsweight lossfrequent infectionsmany people with chronic lymphocytic leukemia have symptom first sign and might develop cancer progress they include
165,Chronic myelogenous leukemia,bone pain bleeding easily feel full after eat small amount food fatigue fever weight loss without try loss appetite pain fullness below the rib left side excessive sweat during sleep blurry vision cause bleeding back eye chronic myelogenous leukemia often doesn cause symptom might detect blood test
166,Chronic pelvic pain,serious and steady pain that come go dull ache sharp pain cramp pressure heaviness deep within the pelvis you may feel chronic pelvic pain different part your area rather than just one spot you might describe more follow way
167,Chronic sinusitis,nasal inflammationthick discolor discharge from the nose runny nose drainage down back throat postnasal drainage block stuffy congest cause difficulty breathing through your nosepain tenderness and swell around eye cheek foreheadreduced sense smell tastecommon sign symptom chronic sinusitis include
168,Chronic traumatic encephalopathy,trouble think memory loss problem with planning organization and carry out task there be specific symptom that have be clearly link cte some the possible can occur many other condition people who be confirm cte autopsy include cognitive behavioral mood motor change
169,Cirrhosis,fatigue easily bleeding bruising loss appetite nausea swell the leg foot ankle call edema weight loss itchy skin yellow discoloration skin and eye jaundice fluid accumulation abdomen ascites uh sahy teez spiderlike blood vessel skin redness palm hand pale fingernail especially thumb index finger club finger which fingertip spread out become rounder than usual for woman absence loss period not related menopause for men sex drive testicular shrinkage breast enlargement know gynecomastia confusion drowsiness slur speech the liver your large internal organ about size football locate mainly upper right portion beneath diaphragm above stomach
170,Cleft lip and cleft palate,split the lip and roof mouth palate that affect one both side facea appear only small notch extends from through upper gum palate into bottom nosea doesn affect appearance faceusually cleft immediately identifiable birth cleft cleft may appear
171,Clubfoot,the top the foot usually twist downward and inward increase arch turn heel inward the may turn severely that actually look upside down the affected leg slightly shorter the calf muscle be underdeveloped your child have clubfoot here what might look like
172,Cluster headache,excruciate pain that generally situate behind around one eye but may radiate other area your face head and neckone side painrestlessnessexcessive tearingredness eye the affected sidestuffy runny nose sideforehead facial sweat sidepale skin pallor flush faceswelling sidedrooping eyelid sidecluster headache usually occur cyclical pattern call cluster period possible symptom include severe side head there tear nasal stuffiness nostril
173,Cold sore,tingle and itch many people feel itch burning tingle around the lip for day before small hard painful spot appear blister form blister small fluid fill often form along border lip sometimes they appear nose cheek inside mouth ooze crust the small may merge then burst this can leave shallow open sore that ooze crust over cold sore usually pass through several stage
174,Colon cancer,change bowel habit such more frequent diarrhea constipation rectal bleeding blood the stool ongoing discomfort belly area cramp gas pain feel that doesn empty all way during movement weakness tiredness lose weight without try many people with colon cancer don have symptom first when appear they likely depend cancer size and where large intestine
175,Colon polyps,change bowel habit constipation diarrhea that last longer than week may mean the presence large colon polyp cancer however several other condition also can cause change habit change stool color blood show red streak your make appear black change color cause certain food medicine dietary supplement iron deficiency anemia bleeding from polyp happen slowly over time without visible blood stool chronic bleeding lead iron anemia which you feel tire and short breath pain large block part bowel lead crampy abdominal pain rectal bleeding this sign cancer condition such hemorrhoid minor tear anus most people with not have any symptom you might know until health care provider find during exam colon
176,Color blindness,different shade red and greendifferent blue yellowany colorsyou may have color vision deficiency not know some people figure out that they their child have the condition when cause confusion such there be problem differentiate color traffic light interpret color cod learn material
177,Coma,close eye depressed brainstem reflex such pupil not respond light response limb except for reflex movement response painful stimulus movement irregular breathing the symptom coma commonly include
178,Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle
179,Common cold,runny stuffy nose sore scratchy throat cough sneeze generally feel unwell slight body ache mild headache low grade fever most often common cold symptom start day after someone expose virus symptom vary they can include
180,Common variable immunodeficiency,book mayo clinic family health book th editionnewsletter letter digital editionthe severity symptom can vary greatly between people with cvid symptom common variable immunodeficiency may appear during childhood adolescence though many don experience them until adulthood
181,Common warts,small fleshy grainy bumpsrough the touchsprinkled with black pinpoint which be small clot blood vesselscommon wart usually occur your finger hand and may
182,Complicated grief,intense sorrow pain and rumination over the loss your love onefocus little else but one deathextreme focus reminder one excessive avoidance remindersintense persistent longing pin for deceasedproblems accept deathnumbness detachmentbitterness about lossfeeling that life hold meaning purposelack trust othersinability enjoy think back positive experience with oneduring first few month after loss many sign symptom normal grief be same those complicate grief however while gradually start fade time linger get bad complicate like be ongoing heighten state mourn keep you from heal
183,Compulsive sexual behavior,you have repeat and intense sexual fantasy urge behavior that take lot your time feel they beyond control you driven frequent urge certain behavior release the tension afterward but also guilt deep regret you try without success reduce control behavior you use compulsive behavior escape from other problem such loneliness depression anxiety stress you continue engage spite them cause serious problem these could include possibility get give someone else sexually transmit infection loss important relationship trouble work financial issue legal problem you make keep healthy stable relationship some sign you may include
184,Concussion,headacheringing the earsnauseavomitingfatigue drowsinessblurry visionthe sign and symptom concussion can subtle may not show immediately symptom last for day week even longer
185,Congenital adrenal hyperplasia,insufficient cortisol classiccahcauses the body produce insufficient amount cortisol this can cause problem maintain normal blood pressure sugar and energy level during physical stress such illness adrenal crisis people with classiccahcan seriously affected lack cortisol aldosterone both know adrenal crisis life threaten atypical genitalia female infant may have atypical genitalia appearance enlarge clitoris that resemble penis partially close labium resemble scrotum the urinary opening urethra vagina only one instead two separate opening uterus fallopian tube ovary usually develop typically male typical appear genitals excess androgen excess male sex hormone androgen result short height early puberty for both male female pubic hair other sign appear very age severe acne also occur excess hormone female facial hair excessive deepen voice alter growth rapid growth occur childhood advanced bone final shorter than average fertility issue these include irregular menstrual period not have any all infertility fertility issue sometimes male sign symptom cah vary depend which gene level enzyme deficiency imbalance need function mean too little aldosterone androgen combination these imbalance
186,Congenital diaphragmatic hernia (CDH),severe trouble breathing due small lung that don work well pulmonary hypoplasia type high blood pressure affect the artery and right side heart hypertension problem with development heart damage intestine stomach liver other abdominal organ they move through hernia into chest congenital diaphragmatic range severity may mild have few effect baby can more serious affect ability bring oxygen rest body
187,Congenital heart defects in children,pale gray blue lip tongue fingernail cyanosis rapid breathingswelling the leg belly area around eyesshortness breath during feeding lead poor weight gainserious congenital heart defect usually be notice soon after birth first few month life sign and symptom could include
188,Congenital heart disease in adults,irregular heart rhythm arrhythmia blue skin lip and fingernail cyanosis shortness breathfeeling tire very quickly with activityswelling body tissue organ edema for some people sign symptom congenital disease aren notice until adulthood symptom may return year after defect treat
189,Conjoined twins,chest thoracopagus thor uh kop uh gu twin be join face the chest they often have share heart and may also share one liver upper intestine this most common site conjoin twin abdomen omphalopagus om fuh lop uh gu near bellybutton many omphalopagus some part digestive gastrointestinal gi tract some low small intestine ileum long large colon generally not heart base spine pygopagus pie gop uh gu commonly back base spine buttock pygopagus gastrointestinal gi few genital urinary organ length spine rachipagus ray kip uh gu call rachiopagus ray kee op uh gu along length spine type very rare pelvis ischiopagus kee op uh gu pelvis either end end ischiopagus lowergitract well tract organ each twin two leg less commonly three leg trunk parapagus pa rap uh gu side pelvis all belly abdomen chest but with separate head the can two four arm leg head craniopagus kray nee op uh gu back top head face craniopagus portion skull but their brain usually separate though they brain tissue head chest cephalopagus sef uh lop uh gu head body face opposite side single brain these rarely survive there specific symptom that indicate pregnancy other pregnancy uterus grow faster than do baby and there more tiredness nausea vomit early conjoin diagnose pregnancy use ultrasound
190,Constipation,passing few than three stool weekhaving lumpy hard stoolsstraining have bowel movementsfeeling though there blockage your rectum that prevents you can completely empty the stool from rectumneeding help rectum such use hand press abdomen and finger remove rectumsigns symptom chronic constipation include
191,Contact dermatitis,itchy rashleathery patch that be darker than usual hyperpigmented typically brown black skindry crack scaly skin white skinbumps and blister sometimes with ooze crustingswelling burning tendernesscontact dermatitis often affect skin directly expose offend substance here the rash likely cause cosmetic
192,Corns and calluses,thick rough area skina harden raise bumptenderness pain under the skinflaky dry waxy skincorns have hard center and tend develop top side your toe they can painful
193,Coronary artery disease,chest pain angina you may feel pressure tightness your chest some people say feel like someone stand their the chest usually occurs the middle left side activity strong emotion can trigger angina go away within minute after trigger event end some people especially woman brief sharp and felt neck arm back shortness breath you you can catch breath fatigue heart pump enough blood meet body need unusually tire heart attack completely block coronary artery will cause attack classic sign symptom attack include crush pressure shoulder pain shortness breath sweat woman have less typical symptom such neck jaw nausea fatigue attack don any noticeable symptom symptom go unrecognized first they only occur when beating hard during exercise artery continue narrow get become more severe frequent
194,Coronavirus disease 2019 (COVID-19),fever cough tiredness symptom coronavirus disease covid may appear day after exposure this time exposure and before have symptom call the incubation period you can still spread covid you have symptom presymptomatic transmission common include
195,Corticobasal degeneration (corticobasal syndrome),difficulty move one both side the body which get bad over timepoor coordinationtrouble with balancestiffnessabnormal posture hand foot such hand form clenched fistmuscle jerksdifficulty swallowingabnormal eye movementstrouble think and language skillsspeech problem slow halt speechdifficulty swallowingsigns symptom corticobasal degeneration corticobasal syndrome include
196,Cradle cap,patchy scale thick crust the scalpoily dry skin cover with flaky white yellow scalesskin flakespossibly mild rednesscommon sign cradle cap include
197,Craniosynostosis,misshapen skull with the shape depend which suture be affecteddevelopment raise hard ridge along affected suture change head that not typicalthe sign craniosynostosis usually noticeable birth but they become more apparent during first few month your baby life sign and severity depend how many fuse when brain development fusion occurs symptom can include
198,Crohn's disease,diarrheafeverfatigueabdominal pain and crampingblood your stoolmouth soresreduced appetite weight losspain drainage near around the anus due inflammation from tunnel into skin fistula crohn disease any part small large intestine can involve may involve multiple segment continuous some people disease only colon which intestine
199,Cryoglobulinemia,skin lesion most people with cryoglobulinemia develop purplish skin lesion their leg some people leg ulcer also occur joint pain symptom resemble rheumatoid arthritis be common cryoglobulinemia peripheral neuropathy cryoglobulinemia can damage the nerve tip your finger and toe cause numbness other problem symptom usually come go may include
200,Cushing syndrome,weight gain the trunk with thin arm and leg weight face this sometimes call moon face fatty lump between shoulder may refer buffalo hump pink purple stretch mark stomach hip thigh breast underarms thin frail skin that bruise easily slow wound heal acne symptom cushing syndrome can vary depend level extra cortisol
201,Cutaneous T-cell lymphoma,round patch skin that may raise scaly and might itchypatches appear lighter color than surround skinlumps form the break openenlarged lymph nodeshair lossthickening palm hand sol feeta rash like redness over entire body intensely itchysigns symptom cutaneous cell lymphoma include
202,Cyclothymia (cyclothymic disorder),exaggerated feel happiness well be euphoria extreme optimisminflated self esteemtalking more than usualpoor judgment that can result risky behavior unwise choicesracing thoughtsirritable agitate behaviorexcessive physical activityincreased drive perform achieve goal sexual work related social decrease need for sleeptendency easily distractedinability concentratecyclothymia symptom alternate between emotional high and low the cyclothymia include elevate mood hypomanic symptom low consist mild moderate depressive symptom
203,Cystic fibrosis,persistent cough that produce thick mucus sputum wheezingexercise intolerancerepeated lung infectionsinflamed nasal passage stuffy noserecurrent sinusitisin the u because newborn screen cystic fibrosis can diagnose within first month life before symptom develop but people born screen become available may not until sign and cf show
204,Cystitis,strong persistent urge urinatepain burning feel when urinatingpassing frequent small amount urineblood the urine hematuria passing cloudy strong smell urinepelvic discomforta pressure area below your belly button abdomen low grade fevercystitis sign and symptom may include
205,Dandruff,skin flake your scalp hair eyebrow beard mustache and shouldersitchy scalpscaly crusty scalp infant with cradle capdandruff sign symptom may include
206,De Quervain tenosynovitis,pain near the base thumbswelling thumbdifficulty move thumb and wrist when do something that involves grasp pinchinga stick stop and go sensation itsymptoms de quervain tenosynovitis include
207,Delayed ejaculation,lifelong v acquire with lifelong delayed ejaculation the problem present from time sexual maturity acquire ejaculation occurs after period normal function generalize situational generalize isn limited certain sex partner kind stimulation situational only under circumstance some men with need minute more stimulation have orgasm and ejaculate other might not able ejaculate all anejaculation
208,Delirium,trouble focus topic change topicsgetting stuck idea rather than respond questionsbeing easily distractedbeing withdrawn with little activity response surroundingssymptoms delirium usually begin over few hour day they typically occur medical problem symptom often come and go during the day there may period symptom tend bad night when dark thing look less familiar also setting that aren familiar such hospital
209,Dementia,memory loss which usually notice someone else problem communicate find word trouble with visual and spatial ability such get lose while drive problem reason problem solve trouble perform complex task trouble planning organize poor coordination control movement confusion disorientation dementia symptom vary depend the cause common include
210,Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite behind the eye back muscle red spot over body malaise
211,Dengue fever,headachemuscle bone joint painnauseavomitingpain behind the eyesswollen glandsrashmany people experience sign symptom dengue infection
212,Depersonalization-derealization disorder,feeling that you outside observer your thought feeling body part for example you be float air above yourselffeeling like robot not control speech movementsthe sense body leg arm appear distort enlarge shrunken head wrap cottonemotional physical numbness sens response the world around youa memory lack emotion and they may own memoriespersistent recurrent episode depersonalization derealization both cause distress problem function work school other important area life during these episode be aware detachment only feel reality
213,Depression (major depressive disorder),feeling sadness tearfulness emptiness hopelessnessangry outburst irritability frustration even over small mattersloss interest pleasure most all normal activity such sex hobby sportssleep disturbance include insomnia sleep too muchtiredness and lack energy task take extra effortreduced appetite weight loss increase craving for food gainanxiety agitation restlessnessslowed think speak body movementsfeelings worthlessness guilt fixate past failure self blametrouble concentrate make decision remember thingsfrequent recurrent thought death suicidal thought suicide attempt suicideunexplained physical problem back pain headachesalthough depression may occur only once during your life people typically have multiple episode during these episode symptom the day nearly every day include
214,Dermatitis,itchiness pruritus dry skinrash swollen skin that varies color depend your colorblisters perhaps with ooze and crustingflaking dandruff thicken skinbumps hair folliclesatopic dermatitis can cause very itchy rash atopic most often occurs where the flex inside elbow behind knee front neck
215,Dermatographia (Dermatographism),raise inflame line where you scratch welt from friction swell itch symptom dermatographia may include
216,Desmoid tumors,mass area swellingpainloss function the affected areacramping and nausea when desmoid tumor occur abdomendesmoid tumor symptom differ base where occur desmoid most often happen abdomen arm leg but they can form anywhere body
217,Desmoplastic small round cell tumors,swell the abdomenabdominal painconstipationdifficulty urinatingdesmoplastic small round cell tumor symptom vary depend where cancer begin most often begin abdomen
218,DiGeorge syndrome (22q11.2 deletion syndrome),heart murmur and bluish skin due poor circulation oxygen rich blood cyanosis result heart defectfrequent infectionscertain facial feature such underdeveloped chin low set ear wide set eye narrow groove the upper lipa gap roof mouth cleft palate other problem with palatedelayed growthdifficulty feed failure gain weight gastrointestinal problemsbreathing problemspoor muscle tonedelayed development delay roll over sit infant milestonesdelayed speech development nasal sound speechlearning disabilitiesbehavior problemssigns symptom digeorge syndrome q deletion syndrome can vary type severity depend what body system be affected how severe defect be some sign may apparent birth but others not appear until later infancy early childhood
219,Diabetes,feel more thirsty than usual urinate often lose weight without try presence ketone the urine ketone be byproduct breakdown muscle and fat that happens when there not enough available insulin feel tire weak feel irritable have other mood change have blurry vision have slow heal sore get lot infection such gum skin vaginal infection diabetes symptom depend how high your blood sugar some people especially they have prediabetes gestational diabetes type diabetes may symptom tend come quickly severe
220,Diabetes ,fatigue weight loss restlessness lethargy irregular sugar level blur and distort vision obesity excessive hunger increase appetite polyuria
221,Diabetes insipidus,be very thirsty often with preference for cold water make large amount pale urine get urinate and drink water during the night symptom diabetes insipidus adult include
222,Diabetic nephropathy (kidney disease),worsen blood pressure controlprotein the urineswelling foot ankle hand eyesincreased need urinatereduced for insulin diabetes medicineconfusion difficulty concentratingshortness breathloss appetitenausea and vomitingpersistent itchingfatiguein early stage diabetic nephropathy you would most likely not notice any sign symptom later stage symptom may include
223,Diarrhea,abdominal cramp painbloatingnauseavomitingfeverblood the stoolmucus stoolurgent need have bowel movementsigns and symptom associate with diarrhea loose watery stool may include
224,Dimorphic hemmorhoids(piles),constipation pain during bowel movement anal region bloody stool irritation anus
225,Dislocated shoulder,visibly deform out place shoulderswelling bruisingintense paininability move the jointthe shoulder joint most frequently dislocate body because move several direction your can dislocate forward backward downward the common variety forward anterior dislocation
226,Dissociative disorders,memory loss amnesia certain time period event people and personal informationa sense be detach from yourself your emotionsa perception the thing around you distort unreala blur identitysignificant stress problem relationship work other important area lifeinability cope well with emotional professional stressmental health problem such depression anxiety suicidal thought behaviorssigns symptom depend type dissociative disorder have but may include
227,Diverticulitis,pain which may constant and persist for several day the low left side the abdomen usual site pain sometimes however right more painful especially people asian descent nausea vomit fever abdominal tenderness constipation less commonly diarrhea the sign symptom diverticulitis include
228,Dizziness,false sense motion spin vertigo lightheadedness feel faintunsteadiness loss balancea float wooziness heavy headednesspeople experience dizziness may describe any number sensation such
229,Down syndrome,flatten facesmall headshort neckprotruding tongueupward slant eye lid palpebral fissure unusually shape small earspoor muscle tonebroad short hand with single crease the palmrelatively finger and feetexcessive flexibilitytiny white spot color part iris call brushfield spotsshort heighteach person down syndrome individual intellectual developmental problem may mild moderate severe some people be healthy while others have significant health such serious heart defect
230,Drug Reaction,itch skin rash stomach pain burning micturition spot urination
231,Drug addiction (substance use disorder),feel that you have use the drug regularly daily even several time dayhaving intense urge for block out any other thoughtsover time need more get same effecttaking large amount over longer period time than intendedmaking certain maintain supply drugspending money drug though can afford itnot meeting obligation and work responsibility cut back social recreational activity because usecontinuing know cause problem your life physical psychological harmdoing thing normally wouldn such stealingdriving do risky when you under influence good deal get use recover from effect drugfailing attempt stop drugexperiencing withdrawal symptom attempt take drugdrug addiction behavior include among others
232,Dry macular degeneration,visual distortion such straight line seem bent reduce central vision one both eye the need for brighter light when reading do close work increase difficulty adapt low level enter dimly lit restaurant theater increase blurriness print word difficulty recognize face well define blurry spot blind the field vision dry macular degeneration symptom usually develop gradually and without pain they may include
233,Dry mouth,dryness feel stickiness your mouthsaliva that seem thick and stringybad breathdifficulty chew speak swallowingdry sore throat hoarsenessdry groove tonguea change sense tasteproblems wear denturesif you not produce enough saliva you may notice these sign symptom all most the time
234,Dry skin,feel skin tightnessskin that feel and look roughitchiness pruritus slight severe flake skin which cause the ashy look can affect dry brown black skinslight scale peelingcracked dry riverbed legfine line cracksskin range from reddish white grayish skindeep crack may bleeddry often temporary seasonal you might get only winter for example need treat long term sign symptom vary base your age health status tone living environment sun exposure they include
235,Dry socket,severe pain within few day after remove tooth loss part all the blood clot tooth removal site the socket may look empty bone that you can see socket pain spread from your ear eye temple neck same side face removal bad breath foul odor come mouth bad taste mouth symptom dry include
236,Ductal carcinoma in situ (DCIS),breast lumpbloody nipple dischargedcis doesn typically have any sign symptom however dci can sometimes cause such
237,Dupuytren contracture,age dupuytren contracture occurs most commonly after the age sex men be much more likely develop dupuytren than woman men symptom may bad and progress quickly ancestry people northern european descent high risk disease family history dupuytren often run family occupation some study show connection between worker who use vibrate tool diabetes people with diabetes have increase contracture tobacco alcohol use smoking tobacco drinking both increase contracture dupuytren get slowly over year the condition begin firm lump palm hand this might little tender but usually isn painful
238,Dwarfism,average size trunkshort arm and leg with particularly short upper legsshort finger often wide separation between the middle ring fingerslimited mobility elbowsa disproportionately large head prominent forehead flatten bridge noseprogressive development bow legsprogressive swayed low backan adult height around foot cm sign symptom other than stature vary considerably across spectrum disorder
239,Dysarthria,slur speechslow speechinability speak louder than whisper speak too loudlyrapid speech that difficult understandnasal raspy strain voiceuneven abnormal rhythmuneven volumemonotone speechdifficulty move your tongue facial musclessigns and symptom dysarthria vary depend the underlie cause type dysarthria they may include
240,Dyshidrosis,stress dyshidrosis appear more common during time emotional physical stress exposure certain metal these include cobalt and nickel often industrial set sensitive skin people who develop rash after contact with irritant be likely form the blister dyshidrosis atopic dermatitis some people atopic dermatitis may have dyshidrosis dyshidrosis symptom painful itchy fluid fill side finger palm hand bottom foot the small about width standard pencil lead they grouped cluster can look like tapioca
241,Dyslexia,late talkinglearning new word slowlyproblems form correctly such reverse sound confuse that sound alikeproblems remember name letter number and colorsdifficulty learn nursery rhyme play rhyme gamessigns dyslexia can difficult recognize before your child enters school but some early clue may indicate problem once reach school age child teacher the first notice severity varies condition often becomes apparent start read
242,Dysphagia,pain while swallowinginability swallowa sensation food get stuck the throat chest behind breastbone sternum droolinghoarsenessfood come back regurgitation frequent heartburnfood stomach acid backing into throatweight losscoughing gag when swallowingsigns and symptom associate with dysphagia can include
243,Dystonia,begin single area such your leg neck arm focal dystonia that begin after age usually start the neck arm face tends remain focal become segmental occur during specific action write hand worsen with stress fatigue anxiety become more noticeable over time dystonia affect different people way muscle spasm might
244,E. coli,diarrhea which may range from mild and watery severe bloodystomach cramp pain tendernessnausea vomit some peoplesigns symptom e coli h infection usually begin three four day after exposure the bacteria but you become ill soon one day more than week later sign include
245,Eating disorders,skip meal snack make excuse for not eat have very limited diet that hasn be prescribed train medical professional too much focus food healthy eat especially mean participate usual event such sport banquet eat birthday cake din out make own rather than what the family eats withdraw from social activity frequent and ongoing worry complaint about be unhealthy overweight talk lose weight frequent check mirror be thought flaw repeatedly large amount food use dietary supplement laxative herbal product weight loss exercise more average person this include take rest day off injury illness refuse attend event other life because want exercise callus knuckle reach finger into mouth cause vomit problem with loss tooth enamel may sign repeat vomit leave during right after meal use toilet talk depression disgust shame guilt habit eat secret symptom vary depend type disorder anorexia bulimia binge eat disorder most common disorder people disorder can have all different body type size
246,Ebstein anomaly,blue gray lip fingernail depend skin color these color change may harder easy see fatigue feel pound rapid heartbeat irregular heartbeat shortness breath especially with activity some baby born ebstein anomaly have few symptom others tricuspid valve that leak severely and cause more noticeable problem sometimes symptom don occur until later life
247,Edema,swell puffiness the tissue right under skin especially leg arm stretch shiny skin skin that hold dimple also know pit after be press for few second swell belly call abdomen big than usual feel leg heaviness swell foot ankle and can bad enough leave pit skin press area this swell edema result too much fluid tissue congestive heart failure vein not work well venous insufficiency often cause
248,Ehlers-Danlos syndrome,overly flexible joint because the connective tissue that hold joint together looser your can move far past normal range motion joint pain and dislocation be common stretchy skin weaken allows skin stretch much more than usual you may able pull pinch away from flesh but will snap right back into place when you let go your might also feel exceptionally soft velvety fragile skin damage often doesn heal well for example stitch use close wound tear out leave gap scar these scar look thin crinkly there many different type ehlers danlos syndrome most common sign symptom include
249,Ehrlichiosis and anaplasmosis,moderate feverchillsheadachemuscles ache painsgeneral feel be unwelljoint painnauseavomitingdiarrhealoss appetitesigns and symptom ehrlichiosis anaplasmosis be generally the same although they usually more severe ehrlichiosis symptom anaplasmosis which vary widely from person person include
250,Eisenmenger syndrome,blue gray skin color due low oxygen level cyanosis chest pain tightnesscoughing blooddizziness faintingeasily tire and shortness breath with activityheadacheslarge round fingernail toenail club numbness tingle finger toesshortness while restskipped race heartbeat palpitation symptom eisenmenger syndrome include
251,Emphysema,you short breath you can climb stairsyour lip fingernail turn blue gray with exertionyou not mentally alertyou can have emphysema for many year without notice any sign symptom the main symptom shortness which usually begin gradually
252,Encephalitis,headache fever ache muscle joint fatigue weakness one the major sign encephalitis infant bulge soft spot fontanel baby skull picture here anterior fontanel other fontanel be found side and back infant head
253,End-stage renal disease,nauseavomitingloss appetitefatigue and weaknesschanges how much you urinatechest pain fluid build around the line heartshortness breath lungsswelling foot ankleshigh blood pressure hypertension that difficult controlheadachesdifficulty sleepingdecreased mental sharpnessmuscle twitch crampspersistent itchingmetallic tasteearly chronic kidney disease might have sign symptom disease progress end stage renal symptom include
254,Endometrial cancer,vaginal bleeding after menopause bleeding between period pelvic pain symptom endometrial cancer may include
255,Endometriosis,painful period dysmenorrhea pelvic pain and cramp may begin before extend several day into menstrual period you also have low back abdominal pain pain with intercourse pain during after sex common endometriosis pain bowel movement urination you most likely experience these symptom period excessive bleeding you occasional heavy bleeding between intermenstrual bleeding infertility sometimes endometriosis first diagnose those seek treatment for infertility other sign symptom you fatigue diarrhea constipation bloating nausea especially period the primary symptom pelvic pain often associate period although many their period typically describe that far bad than usual pain increase over time
256,Enlarged breasts in men (gynecomastia),pain particularly adolescentsswollen breast tissuebreast tendernessnipple sensitivity with rub against clothesmost adult men gynecomastia report symptom sign and symptom the condition may include
257,Enlarged spleen (splenomegaly),pain fullness the left upper belly that can spread shouldera feel without eat after small amount because spleen press your stomachlow red blood cell anemia frequent infectionsbleeding easilyan enlarge typically cause sign symptom but sometimes cause
258,Entropion,the feel that something your eyeeye rednesseye irritation painsensitivity light and windwatery eye excessive tear mucous discharge eyelid crustingthe sign symptom entropion result from the friction eyelash outer against surface eye you may experience
259,Eosinophilic esophagitis,difficulty swallow also call dysphagiafood get stuck the esophagus after know impactionchest pain that often centrally locate and do not respond antacidsbackflow undigested food regurgitationsigns symptom include
260,Epidermoid cysts,small round bump under the skin usually face neck trunka tiny blackhead plug central opening cysta thick yellow smelly material that sometimes drain from cystredness swell and tenderness area inflame infectedepidermoid cyst sign symptom include
261,Epidermolysis bullosa,fragile skin that blister easily especially the palm and feetnails be thick unformedblisters inside mouth throatscalp blistering hair loss scar alopecia skin look thintiny pimple like bump milium dental problem such tooth decaydifficulty swallowingitchy painful skinepidermolysis bullosa symptom include
262,Epididymitis,swollen discolor warm scrotumtesticle pain and tenderness usually one side that often come slowlypain when you pas urinean urgent frequent need urinatedischarge from the penispain discomfort low abdomen pelvic areablood semenless commonly feverepididymitis inflammation coil tube call epididymis back testicle
263,Epiglottitis,fever sore throat unusual high pitch sound when breathing know stridor difficult and painful swallow drool act anxious irritable sit lean forward ease breathing child can develop symptom epiglottitis within hour symptom include
264,Epilepsy,temporary confusion star spell stiff muscle uncontrollable jerking movement the arm and leg loss consciousness awareness psychological symptom such fear anxiety deja vu seizure vary depend type seizure because epilepsy cause certain activity brain seizure can affect any brain process seizure may include
265,Erectile dysfunction,trouble get erectiontrouble keep erectionreduced sexual desireerectile dysfunction symptom might include persistent
266,Esophageal cancer,difficulty swallow dysphagia weight loss without tryingchest pain pressure burningworsening indigestion heartburncoughing hoarsenesssigns and symptom esophageal cancer include
267,Esophageal spasms,squeeze pain your chest the often intense and you might mistake for heart pain also know angina difficulty swallow solid liquid sometimes related specific substance red wine extremely hot cold liquid be more common culprit the feel that object stuck throat the return food back esophagus call regurgitation the esophagus muscular tube connects mouth stomach ring muscle contract relax allow pas through the upper low portion
268,Esophageal varices,vomit large amount blood black tarry bloody stool lightheadedness due blood loss loss consciousness severe case esophageal varix usually don cause symptom unless they bleed symptom bleeding esophageal include
269,Esophagitis,difficulty swallow painful swallow swallow food become stuck the esophagus also know impaction chest pain particularly behind breastbone that occurs with eat heartburn acid regurgitation common symptom esophagitis include
270,Essential tremor,begin gradually and usually be more noticeable one side the body worsen with movement usually occur hand first affect hand both hand can include yes yes motion head may aggravate emotional stress fatigue caffeine temperature extreme essential tremor symptom
271,Esthesioneuroblastoma,loss the sense smell frequent nosebleed difficulty breathing through nose esthesioneuroblastoma symptom include
272,Ewing sarcoma,pain swell tenderness near the affected areabone painunexplained tirednessfever with know causelosing weight without tryingsigns and symptom ewing sarcoma include
273,Eye floaters,small shape your vision that appear dark speck knobby transparent string float materialspots move when you eye try look them they quickly out line visionspots be most noticeable plain bright background such blue sky white wallsmall eventually settle down and drift the visionsymptoms eye floater may include
274,Eye melanoma,sensation flash speck dust your vision floater grow dark spot the irisa change shape circle pupil center eyepoor blurry one eyeloss peripheral visioneye melanoma may not cause sign and symptom when they occur symptom eye can include
275,Eyestrain,sore tire burning itch eyeswatery dry eyesblurred double visionheadachesore neck shoulder backincreased sensitivity light call photophobiadifficulty concentratingfeeling that you can not keep your eye openeyestrain symptom include
276,Factitious disorder,extensive knowledge medical term and diseasesvague inconsistent symptomsconditions that get bad for apparent reasonconditions don respond expect standard therapiesseeking treatment from many different doctor hospital which may include use fake namereluctance allow talk family friend other health care professionalsfrequent stay the hospitaleagerness have frequent test risky operationsmany surgical scar evidence numerous procedureshaving few visitor when hospitalizedarguing with stafffactitious disorder symptom involve mimic produce illness injury exaggerate impairment deceive others people go great length hide their deception difficult realize be actually part serious mental disorder they continue even without receive any visible benefit reward face objective doesn support claim
277,Factor V Leiden,painswellingrednesswarmththe factor v leiden mutation do not itself cause any symptom since risk for develop blood clot the leg lung first indication that you have disorder may development abnormal clot
